日期,鉅亨_每日原始總分,鉅亨_左側情緒分類,兆豐_每日原始總分,兆豐_左側情緒分類,PTT_每日原始總分,PTT_左側情緒分類
2020-04-25,-2.0,1.0,,,0,0
2020-04-26,-2.0,1.0,,,0,0
2020-04-27,6.0,-1.0,8.0,-1.0,-1,1
2020-04-28,0.0,0.0,7.0,-1.0,0,0
2020-04-29,24.0,-1.0,13.0,-1.0,11,-1
2020-04-30,24.0,-1.0,16.0,-1.0,8,-1
2020-05-01,-2.0,1.0,,,0,0
2020-05-02,0.0,0.0,,,0,0
2020-05-03,0.0,0.0,,,-1,1
2020-05-04,6.0,-1.0,-7.0,1.0,3,-1
2020-05-05,20.0,-1.0,8.0,-1.0,4,-1
2020-05-06,12.0,-1.0,15.0,-1.0,2,-1
2020-05-07,44.0,-1.0,6.0,-1.0,2,-1
2020-05-08,26.0,-1.0,4.0,-1.0,2,-1
2020-05-09,14.0,-1.0,,,3,-1
2020-05-10,8.0,-1.0,,,4,-1
2020-05-11,6.0,-1.0,8.0,-1.0,4,-1
2020-05-12,0.0,0.0,7.0,-1.0,0,0
2020-05-13,28.0,-1.0,3.0,-1.0,-1,1
2020-05-14,14.0,-1.0,7.0,-1.0,1,-1
2020-05-15,22.0,-1.0,5.0,-1.0,2,-1
2020-05-16,12.0,-1.0,,,0,0
2020-05-17,4.0,-1.0,,,0,0
2020-05-18,14.0,-1.0,16.0,-1.0,0,0
2020-05-19,26.0,-1.0,9.0,-1.0,-1,1
2020-05-20,38.0,-1.0,1.0,-1.0,1,-1
2020-05-21,4.0,-1.0,5.0,-1.0,1,-1
2020-05-22,6.0,-1.0,-2.0,1.0,-3,1
2020-05-23,6.0,-1.0,2.0,-1.0,1,-1
2020-05-24,12.0,-1.0,,,0,0
2020-05-25,8.0,-1.0,10.0,-1.0,2,-1
2020-05-26,22.0,-1.0,7.0,-1.0,3,-1
2020-05-27,18.0,-1.0,5.0,-1.0,0,0
2020-05-28,26.0,-1.0,16.0,-1.0,3,-1
2020-05-29,18.0,-1.0,10.0,-1.0,6,-1
2020-05-30,10.0,-1.0,,,18,-1
2020-05-31,6.0,-1.0,0.0,0.0,-3,1
2020-06-01,6.0,-1.0,1.0,-1.0,4,-1
2020-06-02,22.0,-1.0,2.0,-1.0,-1,1
2020-06-03,32.0,-1.0,18.0,-1.0,2,-1
2020-06-04,18.0,-1.0,9.0,-1.0,0,0
2020-06-05,28.0,-1.0,11.0,-1.0,8,-1
2020-06-06,10.0,-1.0,0.0,0.0,5,-1
2020-06-07,10.0,-1.0,0.0,0.0,7,-1
2020-06-08,4.0,-1.0,9.0,-1.0,6,-1
2020-06-09,22.0,-1.0,8.0,-1.0,1,-1
2020-06-10,14.0,-1.0,6.0,-1.0,4,-1
2020-06-11,-2.0,1.0,11.0,-1.0,1,-1
